repo_id,repo_name,month,month_id,is_treatment,first_treat_month,post,time_to_event,cd_count,ud_count,hl_count,gc_count,total_smells,num_packages,loc,kloc,asd,cd_density,ud_density,hl_density,gc_density,ce_mean,ca_mean,instability_mean,distance_mean,modularity_q,monthly_commits,monthly_contributors,stars,repo_age_months,tool_type,adoption_signal,total_ai_events
1,devonfw/IDEasy,2025-01,24301,1,2025-07,0,-6,181.0,4.0,3.0,0.0,188.0,78.0,15274.0,15.274,12.308498,11.850203,0.261883,0.196412,0.0,6.7179,6.7179,0.6184,0.3074,,64,13,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-02,24302,1,2025-07,0,-5,216.0,3.0,4.0,0.0,223.0,78.0,16390.0,16.39,13.605857,13.178768,0.183038,0.244051,0.0,6.9359,6.9359,0.6221,0.3032,,53,10,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-03,24303,1,2025-07,0,-4,302.0,4.0,2.0,0.0,308.0,80.0,17622.0,17.622,17.478152,17.137669,0.226989,0.113494,0.0,7.0125,7.0125,0.6256,0.2997,,57,13,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-04,24304,1,2025-07,0,-3,153.0,2.0,3.0,0.0,158.0,109.0,18046.0,18.046,8.755403,8.478333,0.110828,0.166242,0.0,5.2844,5.2844,0.6681,0.2744,,44,11,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-05,24305,1,2025-07,0,-2,158.0,2.0,3.0,0.0,163.0,111.0,18531.0,18.531,8.796071,8.526253,0.107927,0.161891,0.0,5.3423,5.3423,0.6679,0.2752,,34,11,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-06,24306,1,2025-07,0,-1,154.0,1.0,3.0,0.0,158.0,111.0,18990.0,18.99,8.320169,8.109531,0.052659,0.157978,0.0,5.3874,5.3874,0.6668,0.2761,,38,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-07,24307,1,2025-07,1,0,119.0,2.0,3.0,0.0,124.0,111.0,19435.0,19.435,6.380242,6.122974,0.102907,0.154361,0.0,5.4595,5.4595,0.6662,0.276,,15,6,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-08,24308,1,2025-07,1,1,120.0,1.0,3.0,0.0,124.0,111.0,19574.0,19.574,6.334934,6.130581,0.051088,0.153265,0.0,5.4775,5.4775,0.6662,0.2758,,23,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-09,24309,1,2025-07,1,2,129.0,4.0,3.0,0.0,136.0,118.0,20862.0,20.862,6.51903,6.183492,0.191736,0.143802,0.0,5.4322,5.4322,0.6847,0.2514,,32,4,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-10,24310,1,2025-07,1,3,143.0,4.0,3.0,0.0,150.0,121.0,21463.0,21.463,6.988771,6.662629,0.186367,0.139775,0.0,5.4793,5.4793,0.6796,0.2575,,27,5,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-11,24311,1,2025-07,1,4,147.0,3.0,4.0,0.0,154.0,124.0,21804.0,21.804,7.062924,6.741882,0.137589,0.183453,0.0,5.4919,5.4919,0.6815,0.256,,41,6,34,30,copilot,file_add,1
1,devonfw/IDEasy,2025-12,24312,1,2025-07,1,5,147.0,3.0,1.0,0.0,151.0,125.0,22848.0,22.848,6.608894,6.433824,0.131303,0.043768,0.0,5.464,5.464,0.6812,0.2562,,29,7,34,30,copilot,file_add,1
1,devonfw/IDEasy,2026-01,24313,1,2025-07,1,6,168.0,4.0,2.0,0.0,174.0,126.0,23656.0,23.656,7.355428,7.101792,0.16909,0.084545,0.0,5.6111,5.6111,0.679,0.2576,,43,8,34,30,copilot,file_add,1
2,TerraFirmaGreg-Team/Core-Modern,2025-01,24301,0,2025-07,0,-6,5.0,0.0,1.0,0.0,6.0,37.0,2795.0,2.795,2.146691,1.788909,0.0,0.357782,0.0,1.0541,1.0541,0.5025,0.4029,,3,2,20,32,control,,0
2,TerraFirmaGreg-Team/Core-Modern,2025-02,24302,0,2025-07,0,-5,5.0,0.0,1.0,0.0,6.0,37.0,2795.0,2.795,2.146691,1.788909,0.0,0.357782,0.0,1.0541,1.0541,0.5025,0.4029,,4,3,20,32,control,,0
